#CSV file for Road Type 4. @author - Dom Potts
#Contains all the relevant values to build a road on the Krooza Map
#Structured as Value 1 = Type, Value 2 = Subtype, Value 3 = Rotation
#Subtypes: 0=road_end, 1=strt_1, 2=strt_2, 3=road_corner, 4=road_junction
R03,NNN,R33,R20,R20,R10,R10,R10,R20,R10,R20,R10,R20,R20,R20,R10,R20,R10,R20,R10,R20,R20,R20,R30,NNN
R21,NNN,R11,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,R21,NNN
R43,R10,R41,NNN,NNN,R33,R10,R20,R10,R20,R10,R10,R20,R20,R20,R10,R20,R10,R20,R40,R20,R10,R10,R42,R00
R11,NNN,R21,NNN,NNN,R21,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,R11,NNN,NNN,NNN,NNN,NNN
R32,R20,R41,NNN,NNN,R11,NNN,R33,R10,R20,R10,R20,R20,R10,R10,R20,R10,R30,NNN,R21,NNN,NNN,NNN,NNN,NNN
NNN,NNN,R11,NNN,NNN,R21,NNN,R32,R10,R20,R10,R10,R10,R20,R00,NNN,NNN,R11,NNN,R11,NNN,NNN,NNN,NNN,NNN
R33,R20,R31,NNN,NNN,R21,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,R21,NNN,R11,NNN,NNN,R03,NNN,NNN
R11,NNN,NNN,NNN,NNN,R32,R10,R20,R10,R20,R10,R10,R20,R20,R20,R10,R20,R31,NNN,R21,NNN,NNN,R11,NNN,NNN
R21,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,NNN,R32,R30,NNN,R21,NNN,NNN
R32,R20,R20,R10,R10,R10,R20,R10,R20,R10,R20,R20,R20,R10,R20,R10,R20,R10,R20,R20,R42,R10,R31,NNN,NNN
